trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-129.26567494274946,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-46.50246014158107,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-89.19227922969944,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-181.84318891924545,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-85.18080437793827,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-141.52834603957422,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-63.00648457317786,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-68.3022636855559,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,6,-36.09970416760094,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-101.83184165928695,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-169.81460639200182,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-56.410355869749104,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-144.68077142406634,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-93.58192392326552,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,21,13.418522507776366,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,6,-0.26482721058590486,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-95.92313154859524,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,12,-19.319164769640597,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,11,16.769581624456794,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,-2.5800029841196723,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,22.899952960526058,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,10,-71.01602964299,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",30,0,-28.812943638747576,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,11,-66.6167123766781,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,16,6.06782088611929,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,1.617269449558027,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-113.59994858278945,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",20,0,-31.93651681939332,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",35,14,-10.586100835743107,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,0,20.60025741332457,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
