trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.97473682724755,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.5629449716524,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.83301227382077,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.58277475808737,"{0: 12, 1: 4, 2: 1, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.10725351599159,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.25572144278914,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-231.05715923172684,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-49.59425100982772,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.84397671671044,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.02562854230248,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,6,-88.0180526725705,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.36041571728484,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-181.44788602897404,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,14,17.698270245067793,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.8867243103825,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.94228407762523,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,15,9.672140400111914,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,19,-49.246382244217365,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-235.1547460504902,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.85648975287674,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-137.46360525933449,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-144.32603116602635,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-97.89793122098635,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-149.52915508136797,"{0: 23, 1: 5, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-219.61903374548876,"{0: 6, 1: 3, 2: 5, 3: 4, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.45628183429045,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.323926093501,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.456547232653424,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-148.92240666926486,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.16827017336195,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",1
